source,prediction,detector,native,model,id
Human,Human,ZeroGPT,No,Human,910
AI,Human,ZeroGPT,NA,GPT4,53
Human,Human,OriginalityAI,Yes,Human,225
Human,Human,OriginalityAI,Yes,Human,882
Human,Human,Crossplag,Yes,Human,846
Human,AI,Quil,No,Human,430
AI,Human,Quil,NA,GPT4,308
Human,Human,GPTZero,Yes,Human,472
AI,Human,OriginalityAI,NA,GPT4,669
AI,AI,Crossplag,NA,GPT3,538
Human,Human,Crossplag,Yes,Human,110
AI,Human,Crossplag,NA,GPT4,288
Human,AI,Crossplag,Yes,Human,754
Human,Human,OriginalityAI,Yes,Human,809
AI,Human,Crossplag,NA,GPT3,678
AI,Human,Sapling,NA,GPT4,355
AI,Human,OriginalityAI,NA,GPT3,66
Human,AI,GPTZero,No,Human,344
AI,AI,Sapling,NA,GPT4,506
AI,AI,ZeroGPT,NA,GPT4,309
AI,Human,GPTZero,NA,GPT3,478
AI,Human,GPTZero,NA,GPT4,491
AI,AI,Quil,NA,GPT4,233
AI,AI,Crossplag,NA,GPT4,233
AI,Human,Quil,NA,GPT3,531
Human,AI,OriginalityAI,No,Human,467
Human,Human,OriginalityAI,Yes,Human,798
AI,Human,ZeroGPT,NA,GPT3,615
Human,Human,Crossplag,No,Human,460
Human,Human,GPTZero,Yes,Human,865
AI,Human,HFOpenAI,NA,GPT4,616
Human,AI,HFOpenAI,No,Human,338
AI,Human,Sapling,NA,GPT4,317
Human,Human,OriginalityAI,Yes,Human,224
AI,Human,HFOpenAI,NA,GPT4,601
AI,Human,GPTZero,NA,GPT3,636
AI,Human,OriginalityAI,NA,GPT3,5
AI,AI,Crossplag,NA,GPT3,522
AI,AI,Quil,NA,GPT3,37
Human,Human,GPTZero,Yes,Human,847
Human,Human,GPTZero,Yes,Human,193
AI,Human,Sapling,NA,GPT4,480
AI,Human,OriginalityAI,NA,GPT4,354
Human,Human,Crossplag,Yes,Human,810
Human,Human,ZeroGPT,Yes,Human,436
AI,Human,Quil,NA,GPT4,711
AI,Human,OriginalityAI,NA,GPT4,594
AI,Human,Quil,NA,GPT4,255
Human,Human,GPTZero,Yes,Human,89
AI,Human,Quil,NA,GPT4,594
Human,Human,Crossplag,No,Human,322
AI,Human,GPTZero,NA,GPT4,346
AI,Human,GPTZero,NA,GPT4,248
AI,Human,Sapling,NA,GPT4,270
AI,AI,HFOpenAI,NA,GPT4,551
Human,Human,HFOpenAI,Yes,Human,880
AI,Human,GPTZero,NA,GPT4,251
AI,Human,GPTZero,NA,GPT3,610
Human,Human,Quil,Yes,Human,485
AI,Human,ZeroGPT,NA,GPT4,484
Human,Human,ZeroGPT,Yes,Human,790
AI,AI,Sapling,NA,GPT3,730
AI,Human,OriginalityAI,NA,GPT4,894
AI,AI,Sapling,NA,GPT3,567
Human,Human,OriginalityAI,Yes,Human,826
AI,Human,Crossplag,NA,GPT4,434
AI,Human,Crossplag,NA,GPT3,539
Human,Human,Quil,Yes,Human,164
AI,AI,Quil,NA,GPT4,562
AI,AI,Crossplag,NA,GPT3,651
AI,Human,Crossplag,NA,GPT3,686
AI,Human,HFOpenAI,NA,GPT4,561
Human,Human,GPTZero,Yes,Human,797
Human,Human,GPTZero,Yes,Human,146
Human,Human,HFOpenAI,Yes,Human,751
AI,Human,Sapling,NA,GPT3,672
AI,Human,HFOpenAI,NA,GPT4,696
Human,Human,OriginalityAI,Yes,Human,313
AI,Human,GPTZero,NA,GPT3,627
Human,Human,ZeroGPT,Yes,Human,361
AI,Human,Sapling,NA,GPT4,673
Human,AI,HFOpenAI,No,Human,430
AI,AI,GPTZero,NA,GPT3,220
Human,Human,ZeroGPT,Yes,Human,336
Human,Human,ZeroGPT,Yes,Human,173
AI,Human,Sapling,NA,GPT3,18
AI,Human,GPTZero,NA,GPT4,84
AI,Human,GPTZero,NA,GPT4,244
AI,Human,Sapling,NA,GPT4,520
AI,Human,HFOpenAI,NA,GPT4,159
AI,Human,HFOpenAI,NA,GPT3,632
Human,Human,ZeroGPT,Yes,Human,183
AI,Human,OriginalityAI,NA,GPT4,923
Human,AI,OriginalityAI,Yes,Human,867
AI,AI,HFOpenAI,NA,GPT3,65
AI,Human,OriginalityAI,NA,GPT4,724
AI,AI,OriginalityAI,NA,GPT3,537
AI,Human,Quil,NA,GPT4,527
AI,Human,ZeroGPT,NA,GPT3,539
AI,Human,OriginalityAI,NA,GPT3,384
Human,Human,ZeroGPT,No,Human,246
AI,AI,ZeroGPT,NA,GPT3,891
AI,Human,Crossplag,NA,GPT4,556
AI,Human,Crossplag,NA,GPT4,428
AI,AI,Sapling,NA,GPT4,679
Human,Human,Sapling,No,Human,332
AI,AI,ZeroGPT,NA,GPT4,394
AI,Human,Crossplag,NA,GPT3,42
AI,Human,Crossplag,NA,GPT4,283
Human,Human,OriginalityAI,Yes,Human,470
Human,Human,ZeroGPT,Yes,Human,866
AI,Human,Crossplag,NA,GPT3,221
AI,Human,GPTZero,NA,GPT4,353
Human,Human,GPTZero,No,Human,277
AI,Human,GPTZero,NA,GPT3,444
AI,AI,Sapling,NA,GPT3,17
AI,Human,ZeroGPT,NA,GPT4,213
AI,AI,OriginalityAI,NA,GPT4,114
Human,Human,OriginalityAI,Yes,Human,822
AI,Human,OriginalityAI,NA,GPT4,378
Human,Human,OriginalityAI,Yes,Human,866
AI,AI,Quil,NA,GPT4,106
Human,Human,HFOpenAI,Yes,Human,803
AI,Human,ZeroGPT,NA,GPT4,392
Human,Human,GPTZero,No,Human,196
AI,AI,Sapling,NA,GPT4,84
Human,AI,Sapling,Yes,Human,147
AI,Human,Quil,NA,GPT3,384
Human,Human,Sapling,Yes,Human,887
Human,AI,ZeroGPT,No,Human,325
AI,AI,GPTZero,NA,GPT3,907
AI,AI,Quil,NA,GPT4,618
AI,Human,GPTZero,NA,GPT4,624
AI,Human,HFOpenAI,NA,GPT3,420
Human,Human,HFOpenAI,Yes,Human,94
AI,Human,ZeroGPT,NA,GPT3,704
AI,Human,Sapling,NA,GPT4,911
AI,AI,OriginalityAI,NA,GPT3,26
AI,AI,ZeroGPT,NA,GPT3,64
Human,Human,Quil,Yes,Human,887
AI,Human,Sapling,NA,GPT4,717
Human,Human,Crossplag,Yes,Human,917
AI,AI,Sapling,NA,GPT3,574
Human,Human,GPTZero,Yes,Human,807
AI,AI,Crossplag,NA,GPT4,168
AI,Human,GPTZero,NA,GPT3,22
AI,Human,HFOpenAI,NA,GPT4,298
Human,Human,Crossplag,Yes,Human,861
AI,Human,OriginalityAI,NA,GPT4,78
AI,Human,Crossplag,NA,GPT4,197
Human,Human,Quil,Yes,Human,183
AI,AI,Quil,NA,GPT4,434
Human,AI,Quil,Yes,Human,185
Human,Human,ZeroGPT,No,Human,327
AI,AI,Quil,NA,GPT4,166
AI,AI,Quil,NA,GPT3,666
Human,Human,Sapling,No,Human,214
Human,Human,Crossplag,Yes,Human,829
AI,Human,HFOpenAI,NA,GPT3,68
Human,Human,GPTZero,Yes,Human,917
AI,Human,ZeroGPT,NA,GPT3,642
Human,AI,Sapling,No,Human,320
AI,Human,HFOpenAI,NA,GPT4,702
AI,Human,OriginalityAI,NA,GPT4,895
AI,AI,GPTZero,NA,GPT4,457
AI,Human,OriginalityAI,NA,GPT4,728
AI,Human,Crossplag,NA,GPT3,384
AI,Human,HFOpenAI,NA,GPT4,369
AI,Human,Crossplag,NA,GPT3,704
AI,Human,Sapling,NA,GPT3,205
AI,Human,GPTZero,NA,GPT4,650
Human,Human,Crossplag,Yes,Human,88
Human,Human,HFOpenAI,Yes,Human,808
Human,AI,HFOpenAI,Yes,Human,128
AI,Human,OriginalityAI,NA,GPT4,607
AI,AI,Quil,NA,GPT3,663
Human,Human,Crossplag,Yes,Human,818
AI,Human,HFOpenAI,NA,GPT4,618
AI,Human,ZeroGPT,NA,GPT4,722
Human,Human,GPTZero,Yes,Human,793
AI,AI,Quil,NA,GPT3,39
Human,Human,HFOpenAI,No,Human,335
AI,Human,HFOpenAI,NA,GPT4,599
AI,AI,ZeroGPT,NA,GPT4,447
Human,Human,ZeroGPT,No,Human,342
AI,AI,OriginalityAI,NA,GPT4,113
AI,Human,HFOpenAI,NA,GPT4,727
AI,Human,GPTZero,NA,GPT4,646
Human,Human,ZeroGPT,Yes,Human,225
AI,AI,OriginalityAI,NA,GPT4,100
Human,Human,OriginalityAI,Yes,Human,50
AI,AI,ZeroGPT,NA,GPT3,907
AI,Human,GPTZero,NA,GPT4,288
AI,Human,Quil,NA,GPT4,372
Human,Human,Sapling,Yes,Human,413
AI,Human,HFOpenAI,NA,GPT4,611
Human,AI,HFOpenAI,No,Human,262
AI,Human,Quil,NA,GPT4,375
AI,Human,Quil,NA,GPT4,309
Human,Human,Sapling,No,Human,924
AI,Human,ZeroGPT,NA,GPT4,266
AI,Human,Crossplag,NA,GPT3,640
AI,Human,ZeroGPT,NA,GPT4,707
Human,Human,HFOpenAI,Yes,Human,838
Human,Human,Sapling,Yes,Human,93
AI,Human,Crossplag,NA,GPT4,526
AI,Human,OriginalityAI,NA,GPT4,601
Human,Human,OriginalityAI,Yes,Human,818
AI,AI,OriginalityAI,NA,GPT4,96
Human,Human,GPTZero,Yes,Human,388
AI,Human,OriginalityAI,NA,GPT3,568
Human,Human,GPTZero,Yes,Human,747
AI,Human,Quil,NA,GPT4,555
AI,Human,Sapling,NA,GPT3,423
Human,Human,ZeroGPT,Yes,Human,883
AI,AI,Sapling,NA,GPT3,596
AI,Human,GPTZero,NA,GPT4,226
AI,Human,HFOpenAI,NA,GPT4,675
AI,AI,Sapling,NA,GPT3,661
AI,Human,OriginalityAI,NA,GPT4,303
AI,Human,Crossplag,NA,GPT4,626
AI,AI,HFOpenAI,NA,GPT3,684
Human,AI,Quil,Yes,Human,89
AI,AI,Sapling,NA,GPT4,187
AI,Human,ZeroGPT,NA,GPT3,201
AI,Human,ZeroGPT,NA,GPT3,366
Human,Human,GPTZero,Yes,Human,86
Human,Human,Sapling,Yes,Human,88
Human,Human,HFOpenAI,Yes,Human,916
Human,Human,ZeroGPT,Yes,Human,127
Human,Human,OriginalityAI,Yes,Human,827
Human,AI,Crossplag,No,Human,525
Human,Human,Sapling,Yes,Human,909
AI,Human,Sapling,NA,GPT3,69
AI,AI,ZeroGPT,NA,GPT4,163
AI,Human,Quil,NA,GPT4,78
Human,Human,Quil,Yes,Human,295
Human,Human,OriginalityAI,Yes,Human,188
AI,Human,Crossplag,NA,GPT4,182
AI,AI,OriginalityAI,NA,GPT4,644
AI,Human,GPTZero,NA,GPT4,603
AI,Human,GPTZero,NA,GPT4,499
AI,Human,ZeroGPT,NA,GPT3,9
AI,AI,GPTZero,NA,GPT3,64
AI,AI,Sapling,NA,GPT4,228
Human,Human,Crossplag,Yes,Human,755
AI,Human,Crossplag,NA,GPT3,563
AI,Human,Sapling,NA,GPT4,552
AI,AI,Sapling,NA,GPT4,475
AI,Human,HFOpenAI,NA,GPT4,339
Human,Human,ZeroGPT,Yes,Human,890
Human,Human,GPTZero,Yes,Human,222
AI,Human,OriginalityAI,NA,GPT3,22
AI,Human,Crossplag,NA,GPT4,303
Human,Human,Sapling,Yes,Human,146
AI,Human,ZeroGPT,NA,GPT4,425
Human,Human,OriginalityAI,Yes,Human,886
AI,AI,Sapling,NA,GPT4,182
AI,AI,Crossplag,NA,GPT3,628
Human,AI,OriginalityAI,No,Human,398
Human,Human,ZeroGPT,No,Human,900
AI,Human,Crossplag,NA,GPT3,9
Human,Human,HFOpenAI,Yes,Human,313
AI,Human,HFOpenAI,NA,GPT4,556
AI,Human,Crossplag,NA,GPT4,709
AI,Human,Quil,NA,GPT3,5
AI,Human,Crossplag,NA,GPT3,595
Human,AI,Sapling,No,Human,301
AI,Human,HFOpenAI,NA,GPT3,615
AI,Human,Sapling,NA,GPT4,372
AI,Human,Crossplag,NA,GPT4,271
AI,Human,GPTZero,NA,GPT3,36
AI,Human,GPTZero,NA,GPT4,254
Human,Human,Crossplag,Yes,Human,742
Human,Human,Sapling,No,Human,431
Human,Human,Crossplag,Yes,Human,224
AI,Human,ZeroGPT,NA,GPT4,354
AI,AI,Quil,NA,GPT4,126
Human,Human,Crossplag,Yes,Human,174
Human,Human,ZeroGPT,No,Human,373
Human,AI,GPTZero,No,Human,374
AI,Human,Sapling,NA,GPT3,42
Human,Human,Sapling,Yes,Human,185
AI,AI,OriginalityAI,NA,GPT4,53
AI,AI,Crossplag,NA,GPT3,593
AI,Human,GPTZero,NA,GPT4,465
Human,Human,Crossplag,Yes,Human,421
Human,Human,GPTZero,Yes,Human,359
Human,Human,ZeroGPT,Yes,Human,359
AI,AI,Quil,NA,GPT3,478
Human,AI,Quil,Yes,Human,146
Human,Human,Quil,Yes,Human,421
AI,AI,Quil,NA,GPT3,641
Human,Human,OriginalityAI,Yes,Human,359
AI,Human,GPTZero,NA,GPT3,7
Human,Human,Quil,No,Human,344
Human,Human,ZeroGPT,Yes,Human,289
AI,Human,Crossplag,NA,GPT4,386
AI,AI,Crossplag,NA,GPT4,406
AI,AI,OriginalityAI,NA,GPT4,234
AI,Human,HFOpenAI,NA,GPT4,475
AI,AI,OriginalityAI,NA,GPT4,449
Human,Human,ZeroGPT,Yes,Human,445
Human,Human,HFOpenAI,Yes,Human,419
AI,Human,HFOpenAI,NA,GPT4,285
AI,Human,Sapling,NA,GPT3,61
AI,Human,GPTZero,NA,GPT4,721
AI,Human,Sapling,NA,GPT4,121
AI,Human,ZeroGPT,NA,GPT4,129
Human,Human,GPTZero,Yes,Human,769
Human,Human,Crossplag,Yes,Human,485
AI,Human,HFOpenAI,NA,GPT3,38
AI,AI,HFOpenAI,NA,GPT3,36
Human,AI,HFOpenAI,No,Human,495
Human,Human,HFOpenAI,Yes,Human,913
AI,Human,Crossplag,NA,GPT4,682
Human,Human,HFOpenAI,Yes,Human,365
AI,AI,HFOpenAI,NA,GPT4,120
Human,AI,HFOpenAI,No,Human,324
AI,Human,Sapling,NA,GPT4,518
Human,Human,HFOpenAI,Yes,Human,814
AI,Human,Crossplag,NA,GPT4,80
Human,Human,Sapling,Yes,Human,292
Human,AI,HFOpenAI,No,Human,278
Human,Human,ZeroGPT,Yes,Human,337
AI,Human,GPTZero,NA,GPT3,632
Human,Human,Sapling,Yes,Human,729
AI,Human,HFOpenAI,NA,GPT3,366
Human,AI,Crossplag,Yes,Human,128
AI,Human,Sapling,NA,GPT3,1
Human,AI,GPTZero,No,Human,901
AI,Human,OriginalityAI,NA,GPT3,68
AI,AI,Sapling,NA,GPT4,234
AI,Human,ZeroGPT,NA,GPT3,586
AI,Human,ZeroGPT,NA,GPT3,596
AI,Human,HFOpenAI,NA,GPT4,921
AI,AI,ZeroGPT,NA,GPT4,120
Human,Human,Sapling,No,Human,900
AI,Human,ZeroGPT,NA,GPT4,483
Human,Human,OriginalityAI,Yes,Human,395
Human,Human,GPTZero,Yes,Human,347
Human,Human,Crossplag,Yes,Human,51
AI,AI,Sapling,NA,GPT3,700
Human,Human,ZeroGPT,Yes,Human,734
Human,Human,GPTZero,Yes,Human,833
Human,Human,Crossplag,No,Human,924
Human,Human,OriginalityAI,Yes,Human,227
Human,Human,GPTZero,Yes,Human,149
Human,Human,Sapling,Yes,Human,361
Human,Human,HFOpenAI,Yes,Human,739
AI,Human,OriginalityAI,NA,GPT3,642
AI,Human,ZeroGPT,NA,GPT4,245
AI,AI,Quil,NA,GPT3,10
Human,Human,Sapling,Yes,Human,89
AI,Human,GPTZero,NA,GPT4,433
Human,Human,Sapling,Yes,Human,158
AI,Human,GPTZero,NA,GPT3,8
Human,Human,GPTZero,Yes,Human,93
AI,Human,GPTZero,NA,GPT3,593
Human,Human,Sapling,Yes,Human,128
AI,Human,ZeroGPT,NA,GPT3,420
AI,AI,ZeroGPT,NA,GPT3,892
AI,Human,GPTZero,NA,GPT4,354
Human,Human,Quil,Yes,Human,412
Human,Human,GPTZero,Yes,Human,744
Human,Human,GPTZero,Yes,Human,445
Human,AI,OriginalityAI,Yes,Human,758
AI,Human,Sapling,NA,GPT4,369
AI,Human,GPTZero,NA,GPT4,514
Human,Human,ZeroGPT,Yes,Human,773
Human,Human,OriginalityAI,Yes,Human,48
Human,Human,OriginalityAI,Yes,Human,294
AI,Human,Sapling,NA,GPT3,60
Human,Human,OriginalityAI,Yes,Human,831
Human,Human,OriginalityAI,Yes,Human,86
Human,Human,Quil,No,Human,490
Human,Human,Sapling,Yes,Human,913
AI,Human,Crossplag,NA,GPT3,420
AI,Human,OriginalityAI,NA,GPT3,385
AI,AI,GPTZero,NA,GPT4,126
Human,Human,Sapling,Yes,Human,227
Human,Human,GPTZero,Yes,Human,782
AI,Human,Quil,NA,GPT4,599
AI,Human,OriginalityAI,NA,GPT3,72
Human,Human,Crossplag,Yes,Human,348
Human,AI,HFOpenAI,No,Human,70
Human,AI,OriginalityAI,No,Human,343
Human,Human,Sapling,No,Human,373
AI,AI,GPTZero,NA,GPT3,223
AI,Human,HFOpenAI,NA,GPT4,303
AI,Human,HFOpenAI,NA,GPT4,299
AI,Human,OriginalityAI,NA,GPT3,366
Human,Human,GPTZero,Yes,Human,540
AI,Human,Quil,NA,GPT4,471
AI,Human,ZeroGPT,NA,GPT3,568
AI,AI,HFOpenAI,NA,GPT3,493
AI,Human,ZeroGPT,NA,GPT3,27
AI,Human,GPTZero,NA,GPT4,414
AI,Human,ZeroGPT,NA,GPT4,226
AI,Human,ZeroGPT,NA,GPT4,375
AI,Human,HFOpenAI,NA,GPT4,594
Human,Human,ZeroGPT,Yes,Human,760
AI,Human,GPTZero,NA,GPT4,600
AI,Human,Sapling,NA,GPT4,95
Human,Human,HFOpenAI,Yes,Human,122
AI,AI,Sapling,NA,GPT3,564
Human,Human,OriginalityAI,Yes,Human,752
Human,Human,GPTZero,Yes,Human,98
AI,Human,Crossplag,NA,GPT4,279
AI,Human,Quil,NA,GPT4,136
Human,Human,ZeroGPT,Yes,Human,776
AI,AI,HFOpenAI,NA,GPT3,17
Human,Human,Quil,Yes,Human,456
Human,Human,HFOpenAI,Yes,Human,818
AI,Human,Quil,NA,GPT4,317
Human,Human,Crossplag,Yes,Human,212
AI,Human,HFOpenAI,NA,GPT4,496
Human,Human,GPTZero,Yes,Human,738
AI,AI,Crossplag,NA,GPT3,39
AI,AI,ZeroGPT,NA,GPT4,319
AI,AI,Quil,NA,GPT4,137
AI,Human,Quil,NA,GPT4,526
AI,Human,Quil,NA,GPT4,131
Human,Human,GPTZero,Yes,Human,405
Human,Human,ZeroGPT,Yes,Human,313
AI,Human,Quil,NA,GPT3,201
AI,AI,OriginalityAI,NA,GPT4,690
AI,Human,HFOpenAI,NA,GPT4,603
Human,Human,Crossplag,Yes,Human,361
Human,Human,Crossplag,Yes,Human,141
AI,Human,Crossplag,NA,GPT4,922
AI,Human,Crossplag,NA,GPT4,429
AI,Human,GPTZero,NA,GPT4,715
Human,Human,HFOpenAI,Yes,Human,874
AI,Human,GPTZero,NA,GPT3,420
AI,Human,Crossplag,NA,GPT3,661
AI,Human,Sapling,NA,GPT4,166
AI,Human,Sapling,NA,GPT4,726
AI,AI,GPTZero,NA,GPT4,160
AI,AI,Quil,NA,GPT3,16
AI,Human,GPTZero,NA,GPT4,475
AI,Human,Quil,NA,GPT4,552
Human,Human,GPTZero,Yes,Human,115
AI,Human,HFOpenAI,NA,GPT3,539
AI,Human,GPTZero,NA,GPT4,657
Human,Human,GPTZero,Yes,Human,218
AI,AI,Quil,NA,GPT4,410
Human,Human,GPTZero,No,Human,310
Human,Human,GPTZero,Yes,Human,767
Human,Human,ZeroGPT,Yes,Human,47
Human,AI,Quil,No,Human,884
AI,AI,OriginalityAI,NA,GPT3,461
AI,Human,Crossplag,NA,GPT4,488
AI,AI,GPTZero,NA,GPT3,687
AI,Human,Sapling,NA,GPT4,169
AI,Human,GPTZero,NA,GPT3,568
AI,AI,Crossplag,NA,GPT3,590
Human,Human,GPTZero,Yes,Human,836
AI,AI,Quil,NA,GPT3,627
AI,Human,ZeroGPT,NA,GPT3,28
Human,Human,GPTZero,Yes,Human,755
Human,Human,OriginalityAI,Yes,Human,292
AI,AI,Crossplag,NA,GPT3,903
AI,Human,Crossplag,NA,GPT4,707
AI,Human,ZeroGPT,NA,GPT4,346
Human,Human,GPTZero,Yes,Human,764
AI,Human,Crossplag,NA,GPT3,468
Human,Human,GPTZero,Yes,Human,862
AI,Human,ZeroGPT,NA,GPT3,409
Human,Human,HFOpenAI,Yes,Human,149
AI,Human,Sapling,NA,GPT4,519
AI,Human,OriginalityAI,NA,GPT4,697
AI,Human,Quil,NA,GPT4,623
AI,Human,Quil,NA,GPT4,626
Human,Human,OriginalityAI,Yes,Human,883
Human,Human,OriginalityAI,Yes,Human,774
AI,AI,Sapling,NA,GPT4,233
AI,Human,GPTZero,NA,GPT3,533
Human,Human,GPTZero,Yes,Human,191
AI,Human,ZeroGPT,NA,GPT4,520
Human,AI,Quil,No,Human,534
Human,Human,GPTZero,No,Human,546
Human,Human,ZeroGPT,Yes,Human,856
AI,Human,OriginalityAI,NA,GPT3,69
Human,Human,ZeroGPT,Yes,Human,770
AI,Human,OriginalityAI,NA,GPT4,715
Human,Human,HFOpenAI,Yes,Human,919
AI,AI,ZeroGPT,NA,GPT3,223
AI,AI,Quil,NA,GPT3,535
AI,Human,Quil,NA,GPT3,408
AI,AI,Sapling,NA,GPT3,25
Human,Human,OriginalityAI,Yes,Human,473
Human,AI,Sapling,No,Human,543
Human,Human,OriginalityAI,Yes,Human,820
Human,AI,Crossplag,Yes,Human,135
AI,Human,Sapling,NA,GPT4,256
Human,Human,HFOpenAI,Yes,Human,754
Human,Human,Sapling,Yes,Human,82
Human,Human,GPTZero,Yes,Human,919
AI,Human,ZeroGPT,NA,GPT4,454
Human,Human,HFOpenAI,Yes,Human,117
AI,AI,Sapling,NA,GPT3,708
AI,AI,Quil,NA,GPT4,455
AI,AI,Sapling,NA,GPT3,571
AI,Human,Crossplag,NA,GPT4,153
Human,Human,Sapling,Yes,Human,336
AI,Human,Crossplag,NA,GPT4,479
Human,Human,HFOpenAI,Yes,Human,761
AI,Human,Crossplag,NA,GPT3,22
Human,Human,Crossplag,Yes,Human,867
AI,Human,Quil,NA,GPT4,477
Human,Human,HFOpenAI,Yes,Human,432
AI,Human,GPTZero,NA,GPT4,197
AI,AI,Sapling,NA,GPT3,569
Human,Human,GPTZero,Yes,Human,749
Human,Human,OriginalityAI,Yes,Human,919
Human,Human,HFOpenAI,Yes,Human,389
AI,Human,OriginalityAI,NA,GPT4,723
Human,AI,Crossplag,Yes,Human,190
AI,Human,ZeroGPT,NA,GPT4,696
AI,Human,Crossplag,NA,GPT4,501
Human,Human,Crossplag,Yes,Human,331
AI,AI,Sapling,NA,GPT4,551
AI,Human,Quil,NA,GPT3,468
AI,Human,Sapling,NA,GPT3,409
Human,Human,Quil,Yes,Human,438
Human,Human,HFOpenAI,No,Human,307
Human,Human,HFOpenAI,Yes,Human,833
AI,Human,Quil,NA,GPT4,607
AI,AI,OriginalityAI,NA,GPT4,85
AI,AI,Sapling,NA,GPT4,682
AI,AI,OriginalityAI,NA,GPT4,250
AI,Human,ZeroGPT,NA,GPT3,605
AI,AI,Quil,NA,GPT3,605
Human,Human,Sapling,Yes,Human,44
AI,Human,Quil,NA,GPT3,68
AI,Human,OriginalityAI,NA,GPT4,317
Human,Human,Quil,No,Human,450
AI,Human,GPTZero,NA,GPT4,727
