Town,Value,Crime,Charles,Old,School
Danvers,23.4,Low,N,21.4,91.57
Middleton,18.9,Low,N,47.6,85.2
Topsfield,35.4,Low,N,21.9,95.19
Hamilton,24.7,Low,N,35.7,94.23
Wenham,31.6,Low,N,40.5,96.05
Beverly,23.3,Low,N,29.2,93.14
Beverly,19.6,Low,N,47.2,90.78
Beverly,18.7,Low,N,66.2,86.85
Beverly,16,Low,N,93.4,85.56
Beverly,22.2,Low,N,67.8,93.27
Beverly,25,Low,N,43.4,90.5
Manchester,33,Low,N,59.5,91.95
North Reading,23.5,Low,N,17.8,95.33
North Reading,19.4,Low,N,31.1,89.76
Wilmington,22,Low,N,21.4,91.9
Wilmington,17.4,Low,N,36.8,86.91
Wilmington,20.9,Low,N,33,91.21
Burlington,24.2,Low,N,6.6,93.28
Burlington,21.7,Low,N,17.5,90.12
Burlington,22.8,Low,N,7.8,94.48
Burlington,23.4,Low,N,6.2,92.46
Woburn,24.1,Low,N,6,93.22
Woburn,21.4,Low,N,45,91.06
Woburn,20,Low,N,74.5,88.03
Woburn,20.8,Low,N,45.8,89.73
Woburn,21.2,Low,N,53.7,87.66
Woburn,20.3,Low,N,36.6,90.9
Reading,28,Low,N,33.5,94.71
Reading,23.9,Low,N,70.4,92.78
Reading,24.8,Low,N,32.2,93.28
Reading,22.9,Low,N,46.7,92.49
Wakefield,23.9,Low,N,48,90.38
Wakefield,26.6,Low,N,56.1,93.47
Wakefield,22.5,Low,N,45.1,87.14
Wakefield,22.2,Low,N,56.8,91.56
Melrose,23.6,Low,N,86.3,94.5
Melrose,28.7,Low,N,63.1,94.3
Melrose,22.6,Low,N,66.1,91.19
Melrose,22,Low,N,73.9,91.8
Stoneham,22.9,Low,N,53.6,91.84
Stoneham,25,Low,N,28.9,93.79
Stoneham,20.6,Low,N,77.3,89.41
Winchester,28.4,Low,N,57.8,93.35
Winchester,21.4,Low,N,69.6,88.66
Winchester,38.7,Low,N,76,95.79
Winchester,43.8,Low,N,36.9,96.43
Winchester,33.2,Low,N,62.5,93.81
Medford,27.5,Low,N,79.9,90.58
Medford,26.5,Low,N,71.3,92.33
Medford,18.6,Low,N,85.4,89.37
Medford,19.3,Low,N,87.4,86.56
Medford,20.1,Low,N,90,87.67
Medford,19.5,Low,N,96.7,83.53
Medford,19.5,Low,N,91.9,81.34
Medford,20.4,Low,N,85.2,85.91
Medford,19.8,Low,N,97.1,87.73
Medford,19.4,Low,N,91.2,84.45
Medford,21.7,Low,N,54.4,87
Malden,22.8,Low,N,81.6,89.84
Malden,18.8,Low,N,92.9,83.79
Malden,18.7,Low,N,95.4,82.91
Malden,18.5,Low,N,84.2,89.55
Malden,18.3,Low,N,88.2,84.24
Malden,21.2,Low,N,72.5,87.96
Malden,19.2,Low,N,82.6,89.7
Malden,20.4,Low,N,73.1,84.63
Malden,19.3,Low,N,65.2,86.39
Everett,22,Low,N,69.7,85.63
Everett,20.3,Low,N,84.1,85.73
Everett,20.5,Low,N,92.9,82.07
Everett,17.3,Low,N,97,74.59
Everett,18.8,Low,N,95.8,82.42
Everett,21.4,Low,N,88.4,85.19
Everett,15.7,Low,N,95.6,72.74
Somerville,16.2,Low,N,96,82.81
Somerville,18,Low,N,98.8,84.61
Somerville,14.3,Low,N,94.7,81.66
Somerville,19.2,Low,N,98.9,87.4
Somerville,19.6,Moderate,N,97.7,87.74
Somerville,23,Low,N,97.9,88.88
Somerville,18.4,Low,N,95.4,84.97
Somerville,15.6,Low,N,98.4,82.69
Somerville,18.1,Low,N,98.2,83.04
Somerville,17.4,Low,N,93.5,83.1
Somerville,17.1,Low,N,98.4,85.41
Somerville,13.3,Low,N,98.2,78.68
Somerville,17.8,Low,N,97.9,81.54
Somerville,14,Low,N,93.6,75.84
Somerville,14.4,Moderate,N,100,65.59
Cambridge,13.4,Moderate,Y,100,73.18
Cambridge,15.6,Moderate,N,100,73.58
Cambridge,11.8,Moderate,N,97.8,70.71
Cambridge,13.8,Moderate,N,100,72.2
Cambridge,15.6,Moderate,N,100,83.35
Cambridge,14.6,Moderate,N,95.7,70.47
Cambridge,17.8,Moderate,N,93.8,71.68
Cambridge,15.4,Moderate,N,94.9,78.55
Cambridge,21.5,Moderate,N,97.3,85.9
Cambridge,19.6,Moderate,N,100,86.72
Cambridge,15.3,Moderate,Y,88,87.88
Cambridge,19.4,Moderate,N,98.5,84.21
Cambridge,17,Moderate,Y,96,84.88
Cambridge,15.6,Moderate,Y,82.6,84.98
Cambridge,13.1,Moderate,N,94,83.86
Cambridge,41.3,Moderate,N,97.4,95.41
Cambridge,24.3,Moderate,N,100,93.57
Cambridge,23.3,Moderate,N,100,92.61
Cambridge,27,Moderate,Y,92.6,94.5
Cambridge,50,Moderate,N,90.8,98.27
Cambridge,50,Moderate,Y,98.2,98.08
Cambridge,50,Moderate,Y,93.9,96.68
Cambridge,22.7,Moderate,N,91.8,88.36
Cambridge,25,Moderate,N,93,90.19
Cambridge,50,Moderate,N,96.2,96.3
Cambridge,23.8,Moderate,N,79.2,87.86
Cambridge,23.8,Moderate,N,96.1,88.9
Cambridge,22.3,Moderate,N,95.2,88.68
Cambridge,17.4,Moderate,N,94.6,85.57
Cambridge,19.1,Moderate,N,97.3,87.97
Arlington,23.1,Low,N,88.5,85.31
Arlington,23.6,Low,N,84.1,90.96
Arlington,22.6,Low,N,68.7,90.36
Arlington,29.4,Low,N,33.1,94.67
Arlington,23.2,Low,N,47.2,89.89
Arlington,24.6,Low,N,73.4,93.71
Arlington,29.9,Low,N,74.4,93.08
Belmont,37.2,Low,N,58.4,94.96
Belmont,39.8,Low,N,83.3,92.44
Belmont,36.2,Low,N,62.2,90.55
Belmont,37.9,Low,N,92.2,95.18
Belmont,32.5,Low,N,95.6,94.32
Belmont,26.4,Low,N,89.8,86.02
Belmont,29.6,Low,N,68.8,86.85
Belmont,50,Low,N,53.6,95.55
Lexington,32,Low,N,41.1,93.32
Lexington,29.8,Low,N,29.1,95.44
Lexington,34.9,Low,N,38.9,94.61
Lexington,33,Low,N,21.5,94.9
Lexington,30.5,Low,N,30.8,95.31
Lexington,36.4,Low,N,26.3,97.13
Bedford,31.1,Low,N,9.9,94.97
Bedford,29.1,Low,N,18.8,95.62
Lincoln,50,Low,N,32,97.03
Concord,33.3,Low,N,34.1,95.92
Concord,30.3,Low,N,36.6,91.39
Concord,34.6,Low,N,38.3,93.38
Sudbury,34.9,Low,N,15.3,95.44
Sudbury,32.9,Low,N,13.9,95.55
Wayland,24.1,Low,N,38.4,92.57
Wayland,42.3,Low,N,15.7,96.89
Weston,48.5,Low,N,33.2,96.19
Weston,50,Low,N,31.9,97.12
Waltham,22.6,Low,N,22.3,89.13
Waltham,24.4,Low,N,52.5,89.03
Waltham,22.5,Low,N,72.7,81.94
Waltham,24.4,Low,Y,59.1,85.34
Waltham,20,Low,Y,100,76.91
Waltham,21.7,Low,Y,92.1,82.73
Waltham,19.3,Low,Y,88.6,76.02
Waltham,22.4,Low,Y,53.8,83.97
Waltham,28.1,Low,N,32.3,90.62
Waltham,23.7,Low,N,9.8,70.45
Waltham,25,Low,N,42.4,90.53
Watertown,23.3,Low,Y,56,86.49
Watertown,28.7,Low,N,85.1,90.31
Watertown,21.5,Low,Y,93.8,82.08
Watertown,23,Low,Y,92.4,89.5
Newton,26.7,Low,Y,88.5,90.29
Newton,21.7,Low,Y,91.3,78.54
Newton,27.5,Low,Y,77.7,90.07
Newton,30.1,Low,N,80.8,92.4
Newton,44.8,Low,N,78.3,95.86
Newton,50,Low,N,83,95.37
Newton,37.6,Low,N,86.5,96.87
Newton,31.6,Low,N,79.9,93.64
Newton,46.7,Low,N,17,96.08
Newton,31.5,Low,N,21.4,96.24
Newton,24.3,Low,N,68.1,88.35
Newton,31.7,Low,N,76.9,94.75
Newton,41.7,Low,N,73.3,97.53
Newton,48.3,Low,N,70.4,96.05
Newton,29,Low,Y,66.5,91.95
Newton,24,Low,N,61.5,89.12
Newton,25.1,Low,Y,76.5,90.46
Newton,31.5,Low,N,71.6,95.27
Natick,23.7,Low,N,18.5,93.64
Natick,23.3,Low,N,42.2,92.63
Natick,27,Low,N,54.3,88.62
Natick,20.1,Low,N,65.1,87.6
Natick,22.2,Low,N,52.9,88.78
Natick,23.7,Low,N,7.8,94.81
Framingham,17.6,Low,N,76.5,87.5
Framingham,18.5,Low,N,70.2,81.54
Framingham,24.3,Low,N,34.9,90.84
Framingham,20.5,Low,N,79.2,89.85
Framingham,24.5,Low,N,49.1,90.48
Framingham,26.2,Low,N,17.5,93.44
Framingham,24.4,Low,N,13,94.1
Framingham,24.8,Low,N,8.9,96.41
Framingham,29.6,Low,N,6.8,96.47
Framingham,42.8,Low,N,8.4,96.46
Ashland,21.9,Low,N,32,93.43
Ashland,20.9,Low,N,19.1,90.75
Sherborn,44,Low,N,34.2,96.89
Brookline,50,Low,N,86.9,94.88
Brookline,36,Low,N,100,92.21
Brookline,30.1,Low,N,100,93.1
Brookline,33.8,Low,N,81.8,90.41
Brookline,43.1,Low,N,89.4,92.74
Brookline,48.8,Low,N,91.5,94.09
Brookline,31,Low,N,94.5,88.75
Brookline,36.5,Low,N,91.6,91.9
Brookline,22.8,Low,N,62.8,89.55
Brookline,30.7,Low,N,84.6,85.21
Brookline,50,Low,N,67,92.56
Brookline,43.5,Low,N,52.6,96.84
Dedham,20.7,Low,Y,61.5,86.35
Dedham,21.1,Low,N,42.1,87
Dedham,25.2,Low,N,16.3,93.41
Dedham,24.4,Low,N,58.7,92.27
Dedham,35.2,Low,Y,51.8,93.42
Needham,32.4,Low,Y,32.9,96.47
Needham,32,Low,N,42.8,97.02
Needham,33.2,Low,Y,49,93.95
Needham,33.1,Low,Y,27.6,95.84
Needham,29.1,Low,N,32.1,92.81
Wellesley,35.1,Low,N,32.2,95.15
Wellesley,45.4,Low,N,64.5,96.24
Wellesley,35.4,Low,N,37.2,95.41
Wellesley,46,Low,Y,49.7,96.99
Dover,50,Low,Y,24.8,96.84
Medfield,32.2,Low,N,20.8,92.15
Millis,22,Low,N,31.9,91.77
Norfolk,20.1,Low,N,31.5,87.07
Walpole,23.2,Low,N,31.3,92.86
Walpole,22.3,Low,N,45.6,92.4
Walpole,24.8,Low,N,22.9,90.49
Westwood,28.5,Low,N,27.9,96.67
Westwood,37.3,Low,N,27.7,96.44
Westwood,27.9,Low,N,23.4,95.3
Norwood,23.9,Low,N,18.4,91.42
Norwood,21.7,Low,N,42.3,89.6
Norwood,28.6,Low,N,31.1,93.73
Norwood,27.1,Low,N,51,92.61
Norwood,20.3,Low,N,58,84.16
Sharon,22.5,Low,N,20.1,95.03
Sharon,29,Low,N,10,95.26
Sharon,24.8,Low,N,47.4,93.93
Canton,22,Low,N,40.4,90.5
Canton,26.4,Low,N,18.4,91.33
Canton,33.1,Low,N,17.7,95.14
Milton,36.1,Low,N,41.1,93.07
Milton,28.4,Low,N,58.1,91.07
Milton,33.4,Low,N,71.9,93.53
Milton,28.2,Low,N,70.3,92.47
Quincy,22.8,Low,N,82.5,95.46
Quincy,20.3,Low,N,76.7,90.03
Quincy,16.1,Moderate,N,37.8,87.36
Quincy,22.1,Low,N,52.8,94.02
Quincy,19.4,Low,N,90.4,88.28
Quincy,21.6,Low,N,82.8,92.1
Quincy,23.8,Low,N,87.3,90.72
Quincy,16.2,Low,N,77.7,88.5
Quincy,17.8,Low,N,83.2,81.67
Quincy,19.8,Low,N,71.7,84.06
Quincy,23.1,Low,N,67.2,89.64
Quincy,21,Low,N,58.8,87.27
Braintree,23.8,Low,N,52.3,92.8
Braintree,23.1,Low,N,54.3,93.13
Braintree,20.4,Low,N,49.9,92.3
Braintree,18.5,Low,N,74.3,88.26
Braintree,25,Low,N,40.1,93.88
Braintree,24.6,Low,N,14.7,94.92
Braintree,23,Low,N,28.9,93.85
Braintree,22.2,Low,N,43.7,87.21
Randolph,19.3,Low,N,25.8,90.03
Randolph,22.6,Low,N,17.2,92.66
Randolph,19.8,Low,N,32.2,90.91
Holbrook,17.1,Low,N,28.4,87.57
Holbrook,19.4,Low,N,23.3,92.17
Weymouth,22.2,Low,N,38.1,94.32
Weymouth,20.7,Low,N,38.5,93.25
Weymouth,21.1,Low,N,34.5,91.99
Weymouth,19.5,Low,N,46.3,90.2
Weymouth,18.5,Low,N,59.6,89.44
Weymouth,20.6,Low,N,37.3,91.49
Weymouth,19,Low,N,45.4,90.26
Weymouth,18.7,Low,N,58.5,90.71
Cohasset,32.7,Low,N,49.3,94.51
Hull,16.5,Low,N,59.7,91.35
Hingham,23.9,Low,N,56.4,92.82
Hingham,31.2,Low,N,28.1,95.39
Rockland,17.5,Low,N,48.5,89.47
Rockland,17.2,Low,N,52.3,87.33
Hanover,23.1,Low,N,27.7,93.64
Norwell,24.5,Low,N,29.7,94.01
Scituate,26.6,Low,N,34.5,94.11
Scituate,22.9,Low,N,44.4,94.02
Marshfield,24.1,Low,N,35.9,94.51
Marshfield,18.6,Low,N,18.5,92.21
Duxbury,30.1,Low,N,36.1,95.5
Pembroke,18.2,Low,N,21.9,91.95
Pembroke,20.6,Low,N,19.5,94.43
Boston Allston-Brighton,17.8,Moderate,Y,97.4,82.4
Boston Allston-Brighton,21.7,Moderate,Y,91,86.73
Boston Allston-Brighton,22.7,Moderate,Y,83.4,88.52
Boston Allston-Brighton,22.6,Moderate,N,81.3,87.33
Boston Allston-Brighton,25,Moderate,N,88,92.21
Boston Allston-Brighton,19.9,Moderate,N,91.1,85.81
Boston Allston-Brighton,20.8,Moderate,N,96.2,89.81
Boston Allston-Brighton,16.8,Moderate,Y,89,85.36
Boston Back Bay,21.9,Moderate,Y,82.9,94.71
Boston Back Bay,27.5,Moderate,N,87.9,92.88
Boston Back Bay,21.9,Moderate,N,91.4,86
Boston Back Bay,23.1,High,N,100,86.67
Boston Back Bay,50,Moderate,N,100,96.74
Boston Back Bay,50,Moderate,Y,96.8,96.27
Boston Beacon Hill,50,Moderate,Y,97.5,97.04
Boston Beacon Hill,50,Moderate,N,100,90.47
Boston Beacon Hill,50,Moderate,Y,89.6,91.12
Boston North End,13.8,High,N,100,65.23
Boston North End,13.8,High,N,100,62.03
Boston Charlestown,15,High,N,97.9,86.56
Boston Charlestown,13.9,High,N,93.3,76.76
Boston Charlestown,13.3,Moderate,N,98.8,78.76
Boston Charlestown,13.1,High,N,96.2,76.31
Boston Charlestown,10.2,High,N,100,78.22
Boston Charlestown,10.4,High,N,91.9,82.79
Boston East Boston,10.9,High,N,99.1,78.92
Boston East Boston,11.3,Moderate,N,100,76.4
Boston East Boston,12.3,Moderate,N,100,75.44
Boston East Boston,8.8,High,N,91.2,69.37
Boston East Boston,7.2,High,N,98.1,69.19
Boston East Boston,10.5,High,N,100,71.72
Boston East Boston,7.4,High,N,89.5,68.01
Boston East Boston,10.2,High,N,100,69.38
Boston East Boston,11.5,Moderate,N,98.9,79.15
Boston East Boston,15.1,Moderate,N,97,82.89
Boston East Boston,23.2,Moderate,N,82.5,81.24
Boston East Boston,9.7,High,N,97,74.32
Boston South Boston,13.8,Moderate,N,92.6,84.83
Boston South Boston,12.7,High,N,94.7,83.65
Boston South Boston,13.1,Moderate,N,98.8,82.88
Boston South Boston,12.5,Moderate,N,96,80.63
Boston South Boston,8.5,Moderate,N,98.9,80.08
Boston South Boston,5,High,N,100,69.41
Boston South Boston,6.3,Moderate,N,77.8,70.03
Boston South Boston,5.6,High,N,100,73.23
Boston South Boston,7.2,High,N,100,79.68
Boston South Boston,12.1,Moderate,N,100,79.69
Boston South Boston,8.3,High,N,96,80.23
Boston South Boston,8.5,High,N,85.4,72.62
Boston South Boston,5,High,N,100,77.02
Boston Downtown,11.9,High,N,100,76.66
Boston Downtown,27.9,High,N,100,87.87
Boston Downtown,17.2,Moderate,N,97.9,73.6
Boston Downtown,27.5,High,N,100,80.22
Boston Downtown,15,High,N,100,89.89
Boston Downtown,17.2,High,N,100,78.78
Boston Downtown,17.9,High,N,100,65.63
Boston Downtown,16.3,High,N,100,79.92
Boston Roxbury,7,High,N,100,63.02
Boston Roxbury,7.2,High,N,100,70.95
Boston Roxbury,7.5,High,N,90.8,74.21
Boston Roxbury,10.4,High,N,89.1,73.36
Boston Roxbury,8.8,High,N,100,79.38
Boston Roxbury,8.4,High,N,76.5,77.26
Boston Roxbury,16.7,High,N,100,84.98
Boston Roxbury,14.2,Moderate,N,95.3,84.3
Boston Roxbury,20.8,High,N,87.6,85.9
Boston Roxbury,13.4,Moderate,N,85.1,76.71
Boston Roxbury,11.7,Moderate,N,70.6,82.84
Boston Roxbury,8.3,High,N,95.4,75.61
Boston Roxbury,10.2,High,N,59.7,84.31
Boston Roxbury,10.9,High,N,78.7,85.48
Boston Roxbury,11,Moderate,N,78.1,78.48
Boston Roxbury,9.5,Moderate,N,95.6,75.92
Boston Roxbury,14.5,Moderate,N,86.1,82.36
Boston Roxbury,14.1,High,N,94.3,80.31
Boston Roxbury,16.1,Moderate,N,74.8,87.97
Boston Savin Hill,14.3,Moderate,N,87.9,83.78
Boston Savin Hill,11.7,High,N,95,84.83
Boston Savin Hill,13.4,High,N,94.6,76.73
Boston Savin Hill,9.6,High,N,93.3,81.95
Boston Savin Hill,8.2,High,N,100,73.55
Boston Savin Hill,8.4,High,N,87.9,65.98
Boston Savin Hill,12.8,Moderate,N,93.9,77.12
Boston Savin Hill,10.5,High,N,92.4,77.89
Boston Savin Hill,17.1,Moderate,N,97.2,80.48
Boston Savin Hill,14.8,Moderate,N,100,83.41
Boston Savin Hill,15.4,Moderate,N,100,81.15
Boston Savin Hill,10.8,High,N,96.6,76.21
Boston Savin Hill,11.8,High,N,94.8,76.02
Boston Savin Hill,14.9,Moderate,N,96.4,82.21
Boston Savin Hill,12.6,Moderate,N,96.6,83.56
Boston Savin Hill,14.1,Moderate,N,98.7,81.87
Boston Savin Hill,13,Moderate,N,98.3,80.69
Boston Savin Hill,13.4,Moderate,N,92.6,82.56
Boston Savin Hill,15.2,Moderate,N,98.2,82.27
Boston Savin Hill,16.1,Moderate,N,91.8,82.73
Boston Savin Hill,17.8,Moderate,N,99.3,83.26
Boston Savin Hill,14.4,Moderate,N,94.1,81.29
Boston Savin Hill,14.1,Moderate,N,86.5,81.87
Boston Dorchester,12.7,Moderate,N,87.9,80.99
Boston Dorchester,13.5,Moderate,N,80.3,83.06
Boston Dorchester,14.9,Moderate,N,83.7,83.77
Boston Dorchester,20,Moderate,N,84.4,85.3
Boston Dorchester,16.4,Moderate,N,90,83.58
Boston Dorchester,17.7,Moderate,N,88.4,85.35
Boston Dorchester,19.5,Moderate,N,83,86.01
Boston Dorchester,20.2,Moderate,N,89.9,89.71
Boston Dorchester,21.4,Moderate,N,65.4,86.78
Boston Dorchester,19.9,Moderate,N,48.2,85.87
Boston Dorchester,19,Moderate,N,84.7,82.85
Boston Mattapan,19.1,Moderate,N,94.5,78.68
Boston Mattapan,19.1,High,N,71,81.87
Boston Mattapan,20.1,High,N,56.7,85.24
Boston Mattapan,19.9,Moderate,N,84,83.71
Boston Mattapan,19.6,Moderate,N,90.7,87.13
Boston Mattapan,23.2,Moderate,N,75,85.64
Boston Forest Hills,29.8,Moderate,N,67.6,88.34
Boston Forest Hills,13.8,Moderate,N,95.4,81.86
Boston Forest Hills,13.3,Moderate,N,97.4,75.9
Boston Forest Hills,16.7,Moderate,N,93.6,81.32
Boston Forest Hills,12,High,N,97.3,75.09
Boston Forest Hills,14.6,High,N,96.7,81.97
Boston Forest Hills,21.4,High,N,88,86.89
Boston West Roxbury,23,Moderate,N,64.7,89.26
Boston West Roxbury,23.7,Moderate,N,74.9,92.26
Boston West Roxbury,25,Moderate,N,77,92.99
Boston West Roxbury,21.8,Moderate,N,40.3,89.58
Boston Hyde Park,20.6,Moderate,N,41.9,86.66
Boston Hyde Park,21.2,Moderate,N,51.9,89.42
Boston Hyde Park,19.1,Moderate,N,79.8,85.02
Boston Hyde Park,20.6,Moderate,N,53.2,88.55
Chelsea,15.2,Low,N,92.7,81.94
Chelsea,7,Low,N,98.3,76.03
Chelsea,8.1,Low,N,98,70.32
Chelsea,13.6,Low,N,98.8,81.93
Chelsea,20.1,Low,N,83.5,86.65
Revere,21.8,Low,N,54,87.99
Revere,24.5,Low,N,42.6,86.41
Revere,23.1,Low,N,28.8,82.4
Revere,19.7,Low,N,72.9,78.86
Revere,18.3,Low,N,70.6,85.9
Revere,21.2,Low,N,65.3,87.08
Revere,17.5,Low,N,73.5,84.9
Revere,16.8,Low,N,79.7,85.67
Winthrop,22.4,Low,N,69.1,90.33
Winthrop,20.6,Low,N,76.7,90.92
Winthrop,23.9,Low,N,91,94.36
Winthrop,22,Low,N,89.3,93.52
Winthrop,19,Low,N,80.8,92.12
